split_seed,train_seed,task,shots,support_resample,episode_hash,primary_oracle,top1_expert,top2_expert,top1_top2_accuracy_margin,exact_accuracy_tie,epsilon_accuracy,epsilon_optimal_size,epsilon_optimal_experts
6,4,breastmnist,5,4,775a3341e2fb89b0447a57e45d0bfa5b82c935fd6edf4da52bfd159d4469eb75,source_organmnist,source_organmnist,source_bloodmnist,0.025000035762786865,False,0.01,1,source_organmnist
6,4,breastmnist,5,5,9b2fc7c0d1422c5f368fcb5a584560766b11cc2661368184f1bd7a9a1f38e085,source_tissuemnist,source_tissuemnist,source_pathmnist,0.0,True,0.01,2,source_pathmnist|source_tissuemnist
6,4,breastmnist,5,6,bdac58c993b4f40878657495d63e9c1b14f1da9722fc44ef819091b9ee504cb4,shared,shared,source_organmnist,0.025000035762786865,False,0.01,1,shared
6,4,breastmnist,5,7,2bc7248ff5e1ddbc97a77b1c42305f500d09c0ec739e12f73d43e59db1f82f3e,source_tissuemnist,source_tissuemnist,source_organmnist,0.025000035762786865,False,0.01,1,source_tissuemnist
6,4,breastmnist,5,8,b3f8b19a2e6c0b23607ab48951fabf7d8f6d44fb0d0728b3b4613ad2de1028a6,source_tissuemnist,source_tissuemnist,source_pathmnist,0.0,True,0.01,2,source_pathmnist|source_tissuemnist
6,4,breastmnist,5,9,634fc3849e3250ebd59f2dcc949e12cdef99f3d7caeb3829ac570899daf68cdd,source_tissuemnist,source_tissuemnist,shared,0.0,True,0.01,3,shared|source_pneumoniamnist|source_tissuemnist
6,4,breastmnist,16,0,b85301f3df8904a9b1e46d953f4f8f2a5a2005fef7c5a28f05a0ed51c2dfdd68,shared,shared,source_bloodmnist,0.02499997615814209,False,0.01,1,shared
6,4,breastmnist,16,1,a9f9e1fd56585525b8d5985d909a0d382aa576659170a96121da64a653f3183f,source_organmnist,source_organmnist,source_tissuemnist,0.0,True,0.01,2,source_organmnist|source_tissuemnist
6,4,breastmnist,16,2,10d582ef2a36221df058d697192774afb18f4ea147d6e54da0d603f12bd7286c,source_tissuemnist,source_tissuemnist,source_organmnist,0.0,True,0.01,3,shared|source_organmnist|source_tissuemnist
6,4,breastmnist,16,3,f209905e6e2a1fc58858131f4505ccd04777213c6ccf845f5f01163bcdfb20be,source_bloodmnist,source_bloodmnist,source_pathmnist,0.0,True,0.01,2,source_bloodmnist|source_pathmnist
6,4,breastmnist,16,4,2ba6f8ff5e4d724d63814d9ff730fbc660ad0beb57818562dd7e6360148d08bd,shared,shared,source_organmnist,0.0,True,0.01,4,shared|source_bloodmnist|source_organmnist|source_tissuemnist
6,4,breastmnist,16,5,fd477abcbc096faf45064168b9b73c11d3f16dbb5e4e847f5d3d1154a21458f3,source_tissuemnist,source_tissuemnist,source_pathmnist,0.050000011920928955,False,0.01,1,source_tissuemnist
6,4,breastmnist,16,6,a1db79d239e0fbd592263529a7252a14790ce87c431e3583a4ee830c25e195b7,source_pathmnist,source_pathmnist,source_tissuemnist,0.02499997615814209,False,0.01,1,source_pathmnist
